id,experience_age_pedagogic,category_qual_cat,class_manager,main_position_cat,main_position,sex,experience_age_other,min_parallel,max_parallel,year,n_unique_subjects,n_unique_parallel,is_critical,studied_in_moscow_any,has_higher_edu,has_prestigious_university,attrition_rate_2022,load_vs_district,school_known,school_size_deviation,buildings_num_filled,pkpp_prog_types_2023,pkpp_total_courses,pkpp_unique_types,is_out_next_year
bba6681016,25,не_найдено,0,учитель,Учитель,0,9,6,6,2023,1.6094379124341003,1,False,0.0,1.0,0.0,0.0873015873015873,-0.06535156482632462,1,0.07411080840165221,10.0,1.0,2.0,1.0,1
bba8a956e4,7,первая,1,учитель,Учитель,0,0,3,7,2022,2.5649493574615367,3,False,1.0,1.0,0.0,0.1590909090909091,-0.2458272661553976,1,-0.05142689325945401,6.0,1.0,4.0,1.0,0
bba8a956e4,8,первая,1,учитель,Учитель,0,0,4,4,2023,2.1972245773362196,1,False,1.0,1.0,0.0,0.1590909090909091,-0.2458272661553976,1,-0.05142689325945401,6.0,1.0,4.0,1.0,0
bba8a956e4,9,высшая,1,учитель,Учитель,0,0,1,2,2024,1.9459101490553132,2,False,1.0,1.0,0.0,0.1590909090909091,-0.2458272661553976,1,-0.05142689325945401,6.0,1.0,4.0,1.0,1
bba8eebd2b,40,высшая,1,учитель,Учитель,0,0,5,11,2022,1.6094379124341003,5,False,1.0,1.0,0.0,0.08641975308641975,0.21342593597543813,1,-0.1268815722047247,3.0,1.0,4.0,1.0,0
bba8eebd2b,41,высшая,1,учитель,Учитель,0,0,5,10,2023,1.9459101490553132,5,False,1.0,1.0,0.0,0.08641975308641975,0.21342593597543813,1,-0.1268815722047247,3.0,1.0,4.0,1.0,0
bba8eebd2b,42,высшая,1,учитель,Учитель,0,0,6,11,2024,2.1972245773362196,4,False,1.0,1.0,0.0,0.08641975308641975,0.21342593597543813,1,-0.1268815722047247,3.0,1.0,4.0,1.0,1
bba91c89c6,9,первая,1,учитель,Учитель,1,16,5,7,2022,1.0986122886681098,3,False,1.0,1.0,0.0,0.12903225806451613,-0.14672190372675506,1,-0.4681979339670424,6.0,1.0,3.0,1.0,0
bba91c89c6,10,первая,1,учитель,Учитель,1,16,5,10,2023,1.791759469228055,5,False,1.0,1.0,0.0,0.12903225806451613,-0.14672190372675506,1,-0.4681979339670424,6.0,1.0,3.0,1.0,0
bba91c89c6,11,первая,1,учитель,Учитель,1,16,5,9,2024,1.791759469228055,5,False,1.0,1.0,0.0,0.12903225806451613,-0.14672190372675506,1,-0.4681979339670424,6.0,1.0,3.0,1.0,1
bbaed1493e,45,первая,1,учитель,Учитель,0,0,6,9,2022,1.9459101490553132,4,False,0.0,1.0,0.0,0.11764705882352941,0.09787400061752866,1,0.014437985712671539,6.0,0.0,1.0,1.0,0
bbaed1493e,46,первая,1,учитель,Учитель,0,0,5,9,2023,1.9459101490553132,4,False,0.0,1.0,0.0,0.11764705882352941,0.09787400061752866,1,0.014437985712671539,6.0,0.0,1.0,1.0,0
bbaed1493e,47,первая,1,учитель,Учитель,0,0,5,9,2024,1.791759469228055,4,False,0.0,1.0,0.0,0.11764705882352941,0.09787400061752866,1,0.014437985712671539,6.0,0.0,1.0,1.0,1
bbaf7085df,26,высшая,1,учитель,Учитель,0,1,2,9,2022,2.70805020110221,3,False,0.0,1.0,0.0,0.0851063829787234,0.07278447780082355,1,0.20942082759108094,8.0,1.0,8.0,1.0,0
bbaf7085df,27,высшая,1,учитель,Учитель,0,1,1,9,2023,2.70805020110221,3,False,0.0,1.0,0.0,0.0851063829787234,0.07278447780082355,1,0.20942082759108094,8.0,1.0,8.0,1.0,0
bbaf7085df,28,высшая,1,учитель,Учитель,0,1,2,9,2024,2.1972245773362196,2,False,0.0,1.0,0.0,0.0851063829787234,0.07278447780082355,1,0.20942082759108094,8.0,1.0,8.0,1.0,1
bbaf822f7c,22,первая,1,учитель,Учитель,0,0,1,5,2022,2.0794415416798357,3,False,1.0,1.0,0.0,0.10344827586206896,-0.24821639845542048,1,-0.3748040887391856,8.0,1.0,2.0,1.0,0
bbaf822f7c,23,первая,1,учитель,Учитель,0,0,3,3,2023,2.0794415416798357,1,False,1.0,1.0,0.0,0.10344827586206896,-0.24821639845542048,1,-0.3748040887391856,8.0,1.0,2.0,1.0,0
bbaf822f7c,24,первая,1,учитель,Учитель,0,0,4,4,2024,2.0794415416798357,1,False,1.0,1.0,0.0,0.10344827586206896,-0.24821639845542048,1,-0.3748040887391856,8.0,1.0,2.0,1.0,1
bbb0afdd53,35,не_найдено,0,учитель,Учитель,0,1,2,7,2022,0.6931471805599453,5,False,1.0,1.0,0.0,0.15217391304347827,3.173695167195769,1,-0.5041549669310782,3.0,1.0,3.0,1.0,0
bbb0afdd53,36,не_найдено,0,учитель,Учитель,0,1,3,8,2023,0.6931471805599453,5,False,1.0,1.0,0.0,0.15217391304347827,3.173695167195769,1,-0.5041549669310782,3.0,1.0,3.0,1.0,0
bbb0afdd53,37,не_найдено,0,учитель,Учитель,0,1,5,11,2024,1.0986122886681098,7,False,1.0,1.0,0.0,0.15217391304347827,3.173695167195769,1,-0.5041549669310782,3.0,1.0,3.0,1.0,1
bbb525e876,3,первая,1,учитель,Учитель,0,1,1,5,2022,1.0986122886681098,3,False,1.0,1.0,1.0,0.11956521739130435,0.09787295665320013,1,-0.008309933862156461,9.0,1.0,3.0,1.0,0
bbb525e876,4,первая,1,учитель,Учитель,0,1,1,6,2023,1.3862943611198906,2,False,1.0,1.0,1.0,0.11956521739130435,0.09787295665320013,1,-0.008309933862156461,9.0,1.0,3.0,1.0,1
bbb610dc9a,24,высшая,0,руководитель,Заместитель директора,1,1,7,10,2022,0.6931471805599453,2,False,1.0,1.0,0.0,0.10416666666666667,-0.18629004304622382,1,-0.4825964872324295,3.0,0.0,0.0,0.0,0
bbb610dc9a,25,высшая,0,руководитель,Заместитель директора,1,0,8,8,2023,0.6931471805599453,1,False,1.0,1.0,0.0,0.10416666666666667,-0.18629004304622382,1,-0.4825964872324295,3.0,0.0,0.0,0.0,0
bbb610dc9a,26,высшая,0,руководитель,Заместитель директора,1,1,9,9,2024,0.6931471805599453,1,False,1.0,1.0,0.0,0.10416666666666667,-0.18629004304622382,1,-0.4825964872324295,3.0,0.0,0.0,0.0,1
bbb804a7c3,41,высшая,0,учитель,Педагог-психолог,0,0,10,11,2022,1.3862943611198906,2,False,1.0,1.0,0.0,0.1485148514851485,-0.26494416610474564,1,-0.04599523769386379,5.0,0.0,0.0,0.0,1
bbbb990f10,1,не_найдено,0,учитель,Педагог-организатор,0,0,5,11,2023,1.3862943611198906,3,False,1.0,1.0,0.0,0.1569767441860465,-0.014928249400660823,1,0.6246417734322319,13.0,0.0,0.0,0.0,1
bbbe6bfc80,17,высшая,0,учитель,Учитель,0,0,5,11,2024,0.6931471805599453,7,False,1.0,1.0,0.0,0.08024691358024691,-0.08519564926006164,1,0.38954733382805046,12.0,0.0,0.0,0.0,1
bbbf68271d,30,высшая,1,учитель,Учитель,0,5,1,1,2022,2.1972245773362196,1,False,0.0,1.0,0.0,0.06802721088435375,-0.08619663247579105,1,0.3885019807821983,8.0,1.0,3.0,1.0,0
bbbf68271d,31,высшая,1,учитель,Учитель,0,5,2,2,2023,1.9459101490553132,1,False,0.0,1.0,0.0,0.06802721088435375,-0.08619663247579105,1,0.3885019807821983,8.0,1.0,3.0,1.0,0
bbbf68271d,32,высшая,1,учитель,Учитель,0,5,3,3,2024,1.9459101490553132,1,False,0.0,1.0,0.0,0.06802721088435375,-0.08619663247579105,1,0.3885019807821983,8.0,1.0,3.0,1.0,1
bbc19a619c,0,не_найдено,0,другой,Технический редактор,1,1,7,7,2023,0.6931471805599453,1,False,1.0,1.0,1.0,0.16666666666666666,-0.2089667174987749,1,-0.036549645987862436,6.0,0.0,0.0,0.0,1
bbc1d64179,35,высшая,0,учитель,Тьютор,0,3,1,6,2022,2.1972245773362196,2,False,0.0,1.0,0.0,0.13709677419354838,-0.1577181995761309,1,0.17125337154416723,8.0,0.0,0.0,0.0,0
bbc1d64179,36,высшая,1,учитель,Учитель,0,3,1,3,2023,2.5649493574615367,3,False,0.0,1.0,0.0,0.13709677419354838,-0.1577181995761309,1,0.17125337154416723,8.0,0.0,0.0,0.0,0
bbc1d64179,37,высшая,1,учитель,Учитель,0,3,4,4,2024,2.1972245773362196,1,False,0.0,1.0,0.0,0.13709677419354838,-0.1577181995761309,1,0.17125337154416723,8.0,0.0,0.0,0.0,1
bbc2ec1b5a,2,первая,1,учитель,Учитель,0,0,5,8,2024,1.3862943611198906,4,False,1.0,1.0,0.0,0.07142857142857142,-0.000979697827666537,1,0.5707599917167114,11.0,0.0,0.0,0.0,1
bbc7d5d223,5,не_найдено,1,учитель,Учитель,0,7,2,2,2023,1.9459101490553132,1,False,1.0,1.0,0.0,0.11627906976744186,-0.0727070556775824,1,0.3157664865678947,14.0,1.0,4.0,1.0,1
bbca36580a,6,первая,0,учитель,Учитель,0,1,7,10,2022,1.0986122886681098,4,False,0.0,1.0,0.0,0.12698412698412698,0.3435323778728769,1,-0.3574163670249817,3.0,1.0,3.0,1.0,0
bbca36580a,7,первая,0,учитель,Учитель,0,1,7,11,2023,0.6931471805599453,4,False,0.0,1.0,0.0,0.12698412698412698,0.3435323778728769,1,-0.3574163670249817,3.0,1.0,3.0,1.0,0
bbca36580a,8,первая,0,учитель,Учитель,0,1,7,10,2024,0.6931471805599453,4,False,0.0,1.0,0.0,0.12698412698412698,0.3435323778728769,1,-0.3574163670249817,3.0,1.0,3.0,1.0,1
bbcd5d1a23,22,высшая,1,учитель,Учитель,0,0,5,7,2022,1.6094379124341003,3,False,1.0,1.0,0.0,0.04081632653061224,-0.2287123121583308,1,0.3885019807821983,10.0,1.0,5.0,1.0,0
bbcd5d1a23,23,высшая,1,учитель,Учитель,0,0,6,8,2023,1.6094379124341003,3,False,1.0,1.0,0.0,0.04081632653061224,-0.2287123121583308,1,0.3885019807821983,10.0,1.0,5.0,1.0,0
